"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"NEPSE","2021-08-16","3165.09","3171.2","3136.47","3160.09","-0.17 %","15,930,897,937.50"
"NEPSE","2021-08-17","3165.69","3177.14","3154.76","3160.32","-0.12 %","18,204,939,237.00"
"NEPSE","2021-08-18","3172.3","3220.86","3153.42","3198.19","0.99 %","21,313,489,269.00"
"NEPSE","2021-08-19","3208.5308","3227.11","3178.25","3180.86","-0.56 %","20,499,210,766.50"
"NEPSE","2021-08-24","3186.47","3188.57","3121.68","3125.01","-1.78 %","16,124,468,059.50"
"NEPSE","2021-08-25","3126.02","3126.02","3068.04","3076.45","-1.76 %","12,092,103,503.50"
"NEPSE","2021-08-26","3085.04","3108.06","3069.72","3094.05","0.48 %","13,421,974,791.50"
"NEPSE","2021-08-29","3105.75","3116.82","3038.78","3044.87","-1.56 %","15,483,687,944.50"
"NEPSE","2021-08-31","3047.26","3047.59","2969.75","2975.84","0.00 %","13,259,696,107.21"
"NEPSE","2021-09-01","2977.29","3019.69","2961","2977.02","0.71 %","9,351,799,654.65"
"NEPSE","2021-09-02","2976.18","2994.35","2915.98","2926.74","-1.66 %","9,505,970,822.34"
"NEPSE","2021-09-05","2928.8","2929.32","2779.03","2818.73","-3.77 %","11,240,391,044.63"
"NEPSE","2021-09-06","2816.93","2981.27","2804.53","2980.79","5.73 %","9,826,222,806.90"
"NEPSE","2021-09-07","2999.62","3004.23","2912.99","2936.61","-1.52 %","7,495,812,161.43"
"NEPSE","2021-09-08","2940.91","2940.91","2873.64","2876.59","-2.09 %","6,646,623,426.91"
"NEPSE","2021-09-09","2880.55","2912.38","2865.96","2875.98","0.02 %","7,050,770,070.49"
"NEPSE","2021-09-12","2887.5","2947.5","2887.47","2947.42","2.44 %","9,440,035,243.87"
"NEPSE","2021-09-13","2962.81","2984.31","2939.79","2947.7","-0.01 %","9,290,554,155.32"
"NEPSE","2021-09-14","2950.37","2964.54","2915.62","2929.29","-0.73 %","5,195,295,443.22"
"NEPSE","2021-09-15","2933.23","2936.89","2881.53","2889.03","-1.44 %","5,358,097,250.54"
"NEPSE","2021-09-16","2889.21","2889.21","2795.24","2812.39","-2.81 %","9,033,900,623.09"
"NEPSE","2021-09-20","2817.98","2821.13","2696.81","2698.25","-4.05 %","8,493,401,009.27"
"NEPSE","2021-09-21","2693.42","2766.45","2613.87","2712.07","0.37 %","7,364,798,651.77"
"NEPSE","2021-09-22","2719.91","2819.03","2719.89","2816.95","3.82 %","6,179,300,157.62"
"NEPSE","2021-09-23","2833.52","2883.13","2804.16","2819.66","0.10 %","7,726,371,029.49"
"NEPSE","2021-09-26","2836.36","2846.29","2756.33","2758.48","-2.20 %","6,500,117,780.43"
"NEPSE","2021-09-27","2762.6","2769.79","2678.14","2685.42","-2.79 %","5,120,973,095.93"
"NEPSE","2021-09-28","2683.6","2695.35","2602.19","2615.4","-2.92 %","5,745,488,178.57"
"NEPSE","2021-09-29","2616.78","2666.19","2578.76","2665.94","1.82 %","5,028,555,092.03"
"NEPSE","2021-09-30","2667.45","2687.59","2629.95","2633.42","-1.33 %","3,700,029,507.49"
"NEPSE","2021-10-03","2637.36","2640.84","2572.96","2577.5","-2.23 %","4,113,814,245.94"
"NEPSE","2021-10-04","2577.36","2596.67","2542.09","2570.81","-0.47 %","3,627,799,935.40"
"NEPSE","2021-10-05","2569.79","2620.32","2569.78","2612.65","1.43 %","2,996,819,683.01"
"NEPSE","2021-10-06","2614.74","2681.39","2614.52","2681.11","2.47 %","4,500,658,141.61"
"NEPSE","2021-10-10","2687.19","2720.36","2654.35","2662.58","-0.81 %","4,498,043,580.96"
"NEPSE","2021-10-11","2667.59","2670.34","2616.4","2639.38","-0.77 %","3,639,468,092.85"
"NEPSE","2021-10-17","2644.42","2670.34","2616.4","2656.97","0.67 %","1,497,375,370.87"
"NEPSE","2021-10-18","2656.04","2656.04","2582.26","2587.45","-2.73 %","2,966,899,790.82"
"NEPSE","2021-10-19","2588.24","2588.37","2481.85","2510.73","-2.99 %","3,777,793,666.35"
"NEPSE","2021-10-20","2522.2","2590.89","2522","2571.66","2.22 %","2,679,028,155.23"
"NEPSE","2021-10-21","2573.05","2585.79","2542.65","2556.96","-0.70 %","2,635,390,459.84"
"NEPSE","2021-10-24","2557","2587.85","2545.5","2584.53","1.06 %","2,773,420,134.90"
"NEPSE","2021-10-25","2588.75","2672.25","2588.24","2672.25","3.29 %","4,308,895,574.87"
"NEPSE","2021-10-26","2678.86","2751.41","2678.01","2751.07","2.79 %","6,318,340,931.64"
"NEPSE","2021-10-27","2753.4","2806.71","2716.99","2769.13","0.56 %","6,612,648,839.92"
"NEPSE","2021-10-28","2768.88","2783.77","2746.23","2782.17","0.29 %","5,395,268,627.81"
"NEPSE","2021-10-31","2785.95","2838.09","2775.54","2837.62","1.82 %","7,823,226,492.71"
"NEPSE","2021-11-01","2852.32","2866.44","2804.31","2819.87","-0.87 %","7,777,510,777.74"
"NEPSE","2021-11-02","2824.83","2845.89","2789.2","2843.62","0.73 %","6,073,716,888.38"
"NEPSE","2021-11-03","2858.74","2878.2","2837.59","2848.84","-0.01 %","6,553,059,152.26"
"NEPSE","2021-11-08","2854.38","2863.8","2821.64","2829.65","-0.86 %","4,420,719,103.13"
"NEPSE","2021-11-09","2831","2833.05","2730.21","2749.86","-2.82 %","6,527,729,547.47"
"NEPSE","2021-11-11","2750.03","2750.28","2687.68","2690.29","-2.17 %","5,119,602,539.69"
"NEPSE","2021-11-14","2694.05","2704.47","2667.34","2688.92","-0.05 %","4,096,219,525.40"
"NEPSE","2021-11-15","2688.06","2728.91","2685.67","2715.35","0.98 %","4,734,651,443.84"
"NEPSE","2021-11-16","2720.59","2784.63","2716","2784.58","2.55 %","5,521,650,856.75"
"NEPSE","2021-11-17","2795.19","2825.98","2795.19","2801.52","0.61 %","7,379,446,819.65"
"NEPSE","2021-11-18","2806.13","2810.64","2760.2","2769.13","-1.16 %","6,271,867,229.84"
"NEPSE","2021-11-21","2771.76","2780.04","2749.83","2757.53","-0.42 %","4,357,309,319.33"
"NEPSE","2021-11-22","2758.99","2778.28","2758.64","2765.44","0.29 %","3,929,261,627.44"
"NEPSE","2021-11-23","2765.68","2765.68","2719.99","2733.14","-1.17 %","4,165,896,577.73"
"NEPSE","2021-11-24","2737.09","2743.22","2694.06","2735.01","0.07 %","4,217,415,336.52"
"NEPSE","2021-11-25","2736.85","2746.55","2720.84","2731.78","-0.12 %","3,789,709,330.90"
"NEPSE","2021-11-28","2731.78","2733.35","2644.6","2651.49","-2.94 %","5,835,135,054.76"
"NEPSE","2021-11-29","2650.54","2677.87","2621.8","2629.98","-0.81 %","4,008,937,133.19"
"NEPSE","2021-11-30","2630.32","2648.04","2603.9","2628.37","-0.06 %","3,089,041,990.69"
"NEPSE","2021-12-01","2628.69","2649.99","2628.48","2633.66","0.20 %","2,742,085,704.34"
"NEPSE","2021-12-02","2633.64","2645.57","2580.6","2584.61","-1.86 %","3,413,589,126.02"
"NEPSE","2021-12-05","2586.83","2587.57","2504.69","2513.89","-2.80 %","4,090,765,324.93"
"NEPSE","2021-12-06","2508.96","2549.5","2438.86","2546.09","1.28 %","4,542,345,271.36"
"NEPSE","2021-12-07","2549.36","2590.76","2505.86","2508.91","-1.46 %","3,128,341,700.27"
"NEPSE","2021-12-08","2508.29","2511.69","2448.78","2455.81","-2.12 %","2,663,909,619.74"
"NEPSE","2021-12-09","2454.42","2465.08","2428.33","2449.97","-0.24 %","2,673,308,791.68"
"NEPSE","2021-12-12","2448.66","2455.72","2359.95","2361.27","-3.62 %","3,382,509,520.17"
"NEPSE","2021-12-13","2351.93","2351.93","2259.51","2282.01","-3.36 %","3,995,604,177.84"
"NEPSE","2021-12-14","2283.67","2418.84","2283.67","2418.85","6.01 %","1,842,647,144.18"
"NEPSE","2021-12-15","2433.2","2493.07","2379.09","2414.62","-0.17 %","4,588,390,677.73"
"NEPSE","2021-12-16","2415.77","2418.87","2371.73","2376.74","-1.57 %","2,301,751,967.91"
"NEPSE","2021-12-20","2390.81","2390.81","2346.6","2358.81","-0.75 %","2,464,689,862.61"
"NEPSE","2021-12-21","2360.33","2415.55","2360.32","2415.55","2.41 %","2,383,259,846.99"
"NEPSE","2021-12-22","2425.05","2509.27","2424.38","2507.7","3.82 %","4,523,338,143.26"
"NEPSE","2021-12-23","2522.51","2542.29","2485.38","2520.23","0.50 %","4,490,266,410.23"
"NEPSE","2021-12-26","2531.43","2596.43","2531.15","2591.42","2.82 %","5,173,200,503.38"
"NEPSE","2021-12-27","2600.21","2616.27","2518.16","2521.65","-2.69 %","5,607,439,670.68"
"NEPSE","2021-12-28","2523.87","2533.63","2486.05","2518.99","-0.11 %","3,125,575,631.56"
"NEPSE","2021-12-29","2520.55","2538.78","2512.41","2524.5","0.22 %","3,623,480,291.76"
